work_slug,role,name,order
1,Direction,Marvin M’Toumo,1
1,Acting/Performance,Elie Autins,2
1,Light,Alessandra Domingues,3
1,Costumes,Marie Schaller,4
1,Make-up,Chaïm Vischel,5
2,Direction,Davide-Christelle Sanvee,1
2,Acting/Performance,Davide-Christelle Sanvee,2
2,Acting/Performance,Steven Schoch,3
2,Video,Dîlan Kîliç,4
2,Light,Florian Bach,5
2,Light,Luis Henkes,6
2,Costumes,Marie Schaller,7
2,Video production,Raphaël Piguet,8
3,Direction,,1
3,Acting/Performance,,2
3,Light,,3
3,Costumes,,4
3,Make-up,,5
