scene_id,work_slug,scene_order,scene_title,video_url
1-scene-0,1,1,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/Elie.Concours.1.mp4
1-scene-1,1,2,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/Elie.Concours.2.mp4
1-scene-2,1,3,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/Elie.Concours.3.mp4
1-scene-3,1,4,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/Jeremiades.1.mp4
1-scene-4,1,5,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/Jeremiades.2.mp4
1-scene-5,1,6,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/Jeremiades.3.mp4
2-scene-0,2,1,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/1.Lamp.1.mp4
2-scene-1,2,2,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/2.Siffle.1.mp4
2-scene-2,2,3,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/3.Baldwin.1.mp4
2-scene-3,2,4,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/4.Shepperd.1.mp4
2-scene-4,2,5,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/5.Hand.1.mp4
3-scene-0,3,1,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/1.Grace.chien.kora.mp4
3-scene-1,3,2,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/2.Oiseaux.noirs.mp4
3-scene-2,3,3,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/3.Le.Dodo.mp4
3-scene-3,3,4,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/4.diablesse.cacao.mp4
3-scene-4,3,5,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/5.Vache.noire.mp4
3-scene-5,3,6,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/6.Elie.epee.mp4
3-scene-6,3,7,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/7.Oiseaux.blancs.mp4
3-scene-7,3,8,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/8.Poursuite.DC.danse.mp4
3-scene-8,3,9,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/9.Poursuite.DC.coros.mp4
3-scene-9,3,10,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/10.La.Chatte.au.Soleil.mp4
3-scene-10,3,11,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/11.Le.Coton.mp4
4-scene-0,4,1,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/1.La.Nuit.mp4
4-scene-1,4,2,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/2.Gorge.rouge.mp4
4-scene-2,4,3,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/3.Intro.Pleurs.mp4
4-scene-3,4,4,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/4.End.Song.mp4
4-scene-4,4,5,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/5.Toux.mp4
4-scene-5,4,6,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/6.Eteignez.tout.mp4
5-scene-0,5,1,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/1.Drone.Postures.mp4
5-scene-1,5,2,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/2.Organ.Vinyl.mp4
5-scene-2,5,3,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/3.Loop.Felicidad.mp4
5-scene-3,5,4,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/4.Piano.Theme.mp4
5-scene-4,5,5,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/5.Orfeu.Granular.mp4
5-scene-5,5,6,,https://pub-16fb774f4ada4a69b6c70bc856201eeb.r2.dev/6.Freeze.Cabelo.mp4
