id,title,format,year,type,cover_key,cover_url,url,all_releases_url,project,project_order
1,Non Masse,vinyl (lp),2023,album,nonmasse.jpg,,https://deardogs.bandcamp.com/album/non-masse,,Apulati Bien,1
2,Exvivo,cassette (lp),2023,album,exvivo.jpg,,https://coldmoss.bandcamp.com/album/exvivo,,Apulati Bien,1
3,Azone,vinyl (lp),2022,album,azone.jpg,,https://kraak.bandcamp.com/album/azone,,Apulati Bien,1
4,Ultimate Best Of Live,cassette (compilation),2021,compilation,ultimate.jpg,,https://apulatibien.bandcamp.com/album/ultimate-best-of-live,,Apulati Bien,1
5,ZERRO redux,digital (ep),2020,ep,,,https://krutrecords.bandcamp.com/album/zerro-redux,,Apulati Bien,1
6,RER TRACKS,cassette (ep),2020,ep,rertracks.jpg,,https://promesses.bandcamp.com/album/rer-tracks,,Apulati Bien,1
7,Crapulati 1,digital (ep),2020,ep,crapulati.jpg,,https://apulatibien.bandcamp.com/album/crapulati-1,,Apulati Bien,1
8,D'ap,cassette (ep),2018,ep,dap.jpg,,https://erratac20series.bandcamp.com/album/vol-24-dap,,Apulati Bien,1
9,OO:NÉ,cassette (lp),2017,album,oo.ne.jpg,,https://promesses.bandcamp.com/album/oo-n,https://www.discogs.com/fr/artist/5751087-Apulati-Bien?superFilter=Releases,Apulati Bien,1
10,Audiovisual Yonk,CD (lp),2026,album,,,https://bambooshows.bandcamp.com/album/audiovisual-yonk,,Apulati Bien,1
11,XOLOT,vinyl (lp),2021,album,,,https://promesses.bandcamp.com/album/xolot,,XOLOT,3
12,IVM Trio,Duplate,2026,single,,,https://accidentalmeetings.bandcamp.com/album/amdub01,,IVM Trio,2
